id,year,state_name,state_code,district_name,district_code,registration_circles,male_below_12_years,male_12_years_to_16_years,male_16_years_to_18_years,male_children,male_18_years_and_above,female_below_12_years,female_12_years_to_16_years,female_16_years_to_18_years,female_children,female_18_years_and_above,transgender_below_12_years,transgender_12_years_to_16_years,transgender_16_years_to_18_years,transgender_children,transgender_18_years_and_above
33,2021,Arunachal Pradesh,12,Upper Siang,240,Siang Upper,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
34,2021,Arunachal Pradesh,12,West Siang,243,Siang West,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
35,2021,Arunachal Pradesh,12,Lower Subansiri,236,Subansiri Lower,0,7,4,11,7,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
36,2021,Arunachal Pradesh,12,Upper Subansiri,241,Subansiri Upper,0,0,30,30,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
37,2021,Arunachal Pradesh,12,Tawang,238,Tawang,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
38,2021,Arunachal Pradesh,12,Tirap,239,Tirap,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
39,2021,Arunachal Pradesh,12,Namsai,678,Namsai,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
40,2021,Arunachal Pradesh,12,Siang,679,Siang,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
41,2021,Arunachal Pradesh,12,Kamle,718,Kamle,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
42,2021,Arunachal Pradesh,12,Kra Daadi,677,Kra Dadi,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
43,2021,Arunachal Pradesh,12,Lower Siang,719,Lower Siang,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
44,2021,Arunachal Pradesh,12,Leparada,724,Leparada,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
45,2021,Arunachal Pradesh,12,Shi Yomi,725,Shiyomi,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
46,2021,Arunachal Pradesh,12,Pakke Kessang,723,Pakkessang,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
47,2021,Assam,18,Kamrup Metro,618,Bieo,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
48,2021,Assam,18,Barpeta,280,Barpeta,0,0,0,0,73,0,0,0,0,19,NaN,NaN,NaN,NaN,NaN
49,2021,Assam,18,Baksa,616,Baksa,9,2,0,11,31,2,5,9,16,161,NaN,NaN,NaN,NaN,NaN
50,2021,Assam,18,Bongaigaon,281,Bongaigaon,4,1,7,12,25,1,4,30,35,165,NaN,NaN,NaN,NaN,NaN
51,2021,Assam,18,Kamrup Metro,618,Cid,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
